0 4 8 12 1 5 13 9 3 7 11 15 2 6 10 14
0 4 8 12 1 5 13 9 3 7 14 10 2 6 15 11
0 4 8 12 1 5 13 9 3 7 15 11 2 6 14 10
0 4 8 12 1 5 13 9 15 7 3 11 10 6 14 2
0 4 8 12 1 5 15 10 2 6 13 11 3 7 14 9
0 4 8 12 1 6 10 14 2 7 11 15 3 5 9 13
0 4 8 12 1 9 13 5 2 10 14 6 3 11 15 7
0 4 8 12 1 10 6 14 2 7 15 11 3 13 9 5
0 4 8 12 1 10 13 7 2 9 15 6 3 11 14 5
0 4 8 12 1 10 14 6 2 11 15 7 3 9 13 5
0 4 8 12 1 11 15 7 2 9 13 5 3 10 14 6
0 4 8 12 2 5 9 13 3 6 10 14 1 7 11 15
0 4 8 12 2 6 10 14 3 7 11 15 1 5 9 13
0 4 8 12 2 7 11 15 3 5 9 13 1 6 10 14
0 4 8 12 2 9 13 5 3 10 14 6 1 11 15 7
0 4 8 12 2 10 14 6 3 11 15 7 1 9 13 5
0 4 8 12 2 11 15 7 3 9 13 5 1 10 14 6
0 4 8 12 2 13 5 9 3 14 6 10 1 15 7 11
0 4 8 12 2 14 6 10 3 15 7 11 1 13 5 9
0 4 8 12 2 15 7 11 3 13 5 9 1 14 6 10
0 4 8 12 11 15 3 7 13 9 5 1 6 2 14 10
0 4 8 13 1 5 9 12 2 6 15 11 7 3 14 10
0 4 8 13 1 5 9 12 6 2 10 14 7 3 11 15
0 4 8 13 1 5 9 12 6 2 15 11 3 7 14 10
0 4 8 13 1 5 9 14 2 6 10 12 7 11 3 15
0 4 8 13 1 5 9 14 2 6 10 12 11 3 7 15
0 4 9 13 1 5 8 12 2 6 11 15 3 7 10 14
0 4 9 13 1 5 8 12 2 6 14 10 3 7 15 11
0 4 9 13 1 5 8 12 2 6 15 11 3 7 14 10
0 4 9 13 1 5 8 12 3 7 10 14 2 6 11 15
0 4 9 13 1 5 8 12 3 7 11 15 2 6 10 14
0 4 9 13 1 5 8 12 3 7 14 10 2 6 15 11
0 4 9 13 1 5 8 12 3 7 15 11 2 6 14 10
0 4 9 13 1 5 8 12 6 2 10 14 7 3 11 15
0 4 9 13 1 5 8 12 6 2 11 15 7 3 10 14
0 4 9 13 1 5 8 12 6 2 14 10 7 3 15 11
0 4 9 13 1 5 8 12 6 2 15 11 7 3 14 10
0 4 9 13 1 5 8 12 7 3 10 14 6 2 11 15
0 4 9 13 1 5 8 12 7 3 11 15 6 2 10 14
0 4 9 13 1 5 8 12 7 3 14 10 6 2 15 11
0 4 9 13 1 5 8 12 7 3 15 11 6 2 14 10
0 4 11 14 1 5 13 9 3 7 10 12 2 6 8 15
0 4 12 8 1 5 13 9 2 6 11 15 3 7 10 14
0 4 12 8 1 5 13 9 2 6 14 10 3 7 15 11
0 4 12 8 1 5 13 9 2 6 15 11 3 7 14 10
0 4 12 8 1 5 13 9 2 7 11 15 3 6 10 14
0 4 12 8 1 5 13 9 2 7 14 10 3 6 15 11
0 4 12 8 1 5 13 9 2 7 15 11 3 6 14 10
0 4 12 8 1 5 13 9 3 7 11 15 2 6 10 14
0 4 12 8 1 5 13 9 3 7 14 10 2 6 15 11
0 4 12 8 1 5 13 9 3 7 15 11 2 6 14 10
0 4 12 8 1 5 13 9 3 14 10 6 2 11 7 15
0 4 12 8 1 5 13 9 6 2 10 14 7 3 11 15
0 4 12 8 1 5 13 9 6 2 11 15 7 3 10 14
0 4 12 8 1 5 13 9 6 2 14 10 7 3 15 11
0 4 12 8 1 5 13 9 6 2 15 11 7 3 14 10
0 4 12 8 1 5 13 9 7 3 10 14 6 2 11 15
0 4 12 8 1 5 13 9 7 3 11 15 6 2 10 14
0 4 12 8 1 5 13 9 7 3 14 10 6 2 15 11
0 4 12 8 1 5 13 9 7 3 15 11 6 2 14 10
0 4 12 8 1 5 15 10 3 6 13 11 2 7 14 9
0 4 13 9 1 5 12 8 2 6 11 15 3 7 10 14
0 4 13 9 1 5 12 8 2 6 14 10 3 7 15 11
0 4 13 9 1 5 12 8 2 6 15 11 3 7 14 10
0 4 13 9 1 5 12 8 3 7 11 15 2 6 10 14
0 4 13 9 1 5 12 8 3 7 14 10 2 6 15 11
0 4 13 9 1 5 12 8 3 7 15 11 2 6 14 10
0 4 13 9 1 5 12 8 6 2 11 15 7 3 10 14
0 4 13 9 1 5 12 8 6 2 14 10 7 3 15 11
0 4 13 9 1 5 12 8 6 2 15 11 7 3 14 10
0 4 13 9 1 5 12 8 7 3 10 14 6 2 11 15
0 4 13 9 1 5 12 8 7 3 11 15 6 2 10 14
0 4 13 9 1 5 12 8 7 3 14 10 6 2 15 11
0 4 13 9 1 5 12 8 7 3 15 11 6 2 14 10
0 6 9 13 2 5 8 14 1 4 10 12 11 3 7 15
0 6 11 13 3 5 8 14 1 7 10 12 2 4 9 15
0 6 12 8 13 5 1 9 14 7 10 2 11 4 3 15
0 6 15 9 14 8 1 7 5 3 10 12 11 13 4 2
0 8 12 4 1 6 10 14 2 7 11 15 3 5 9 13
0 8 12 4 1 7 11 15 2 5 9 13 3 6 10 14
0 8 12 4 1 9 13 5 2 10 14 6 3 11 15 7
0 8 12 4 1 10 14 6 2 11 15 7 3 9 13 5
0 8 12 4 1 11 15 7 2 9 13 5 3 10 14 6
0 8 12 4 1 13 5 9 2 14 6 10 3 15 7 11
0 8 12 4 1 14 6 10 2 15 7 11 3 13 5 9
0 8 12 4 1 15 7 11 2 13 5 9 3 14 6 10
0 8 12 4 2 6 10 14 3 7 11 15 1 5 9 13
0 8 12 4 2 7 11 15 3 5 9 13 1 6 10 14
0 8 12 4 2 9 13 5 3 10 14 6 1 11 15 7
0 8 12 4 2 10 14 6 3 11 15 7 1 9 13 5
0 8 12 4 2 11 15 7 3 9 13 5 1 10 14 6
0 8 12 4 2 13 5 9 3 14 6 10 1 15 7 11
0 8 12 4 2 14 6 10 3 15 7 11 1 13 5 9
0 8 12 4 2 15 7 11 3 13 5 9 1 14 6 10
0 8 12 4 3 6 10 14 1 7 11 15 2 5 9 13
0 8 12 4 3 7 11 15 1 5 9 13 2 6 10 14
0 8 12 4 3 9 13 5 1 10 14 6 2 11 15 7
0 8 12 4 3 10 6 14 1 7 15 11 2 13 9 5
0 8 12 4 3 10 13 7 1 9 15 6 2 11 14 5
0 8 12 4 3 10 14 6 1 11 15 7 2 9 13 5
0 8 12 4 3 11 15 7 1 9 13 5 2 10 14 6
0 8 12 4 3 13 5 9 1 14 6 10 2 15 7 11
0 8 12 4 3 14 6 10 1 15 7 11 2 13 5 9
0 8 12 4 3 15 6 9 1 14 5 11 2 13 7 10
0 8 12 4 3 15 7 11 1 13 5 9 2 14 6 10
0 8 12 4 3 15 11 7 1 9 5 13 2 6 14 10
0 8 12 4 10 2 6 14 15 7 3 11 5 13 9 1
0 8 12 4 13 5 1 9 6 14 10 2 11 3 7 15
0 10 15 5 2 8 13 7 3 9 12 6 1 11 14 4
0 11 13 6 1 10 12 7 2 9 15 4 3 8 14 5
1 5 3 7 0 4 2 6 9 13 11 15 8 12 10 14
1 5 3 7 0 4 2 6 9 13 14 10 8 12 15 11
1 5 3 7 0 4 2 6 12 8 11 15 13 9 10 14
1 5 3 7 0 4 2 6 12 8 14 10 13 9 15 11
1 5 8 12 0 4 9 13 2 6 11 15 3 7 10 14
1 5 8 12 0 4 9 13 2 6 14 10 3 7 15 11
1 5 8 12 0 4 9 13 2 6 15 11 3 7 14 10
1 5 8 12 0 4 9 13 3 7 11 15 2 6 10 14
1 5 8 12 0 4 9 13 3 7 14 10 2 6 15 11
1 5 8 12 0 4 9 13 3 7 15 11 2 6 14 10
1 5 8 12 0 4 9 13 6 2 11 15 7 3 10 14
1 5 8 12 0 4 9 13 6 2 14 10 7 3 15 11
1 5 8 12 0 4 9 13 6 2 15 11 7 3 14 10
1 5 8 12 0 4 9 13 7 3 11 15 6 2 10 14
1 5 8 12 0 4 9 13 7 3 14 10 6 2 15 11
1 5 8 12 0 4 9 13 7 3 15 11 6 2 14 10
1 5 8 13 0 4 9 12 2 6 15 11 7 3 14 10
1 5 8 13 0 4 9 12 6 2 15 11 3 7 14 10
1 5 9 13 0 4 8 12 2 6 14 10 3 7 15 11
1 5 9 13 0 4 8 12 2 6 15 11 3 7 14 10
1 5 9 13 0 4 8 12 3 7 11 15 2 6 10 14
1 5 9 13 0 4 8 12 3 7 14 10 2 6 15 11
1 5 9 13 0 4 8 12 3 7 15 11 2 6 14 10
1 5 9 13 0 4 8 12 6 2 11 15 7 3 10 14
1 5 9 13 0 4 8 12 6 2 14 10 7 3 15 11
1 5 9 13 0 4 8 12 6 2 15 11 7 3 14 10
1 5 9 13 0 4 8 12 7 3 11 15 6 2 10 14
1 5 9 13 0 4 8 12 7 3 14 10 6 2 15 11
1 5 9 13 0 4 8 12 7 3 15 11 6 2 14 10
1 5 9 13 2 6 10 14 3 7 11 15 0 4 8 12
1 5 12 8 0 4 13 9 2 6 14 10 3 7 15 11
1 5 12 8 0 4 13 9 2 6 15 11 3 7 14 10
1 5 12 8 0 4 13 9 3 7 14 10 2 6 15 11
1 5 12 8 0 4 13 9 3 7 15 11 2 6 14 10
1 5 12 8 0 4 13 9 6 2 11 15 7 3 10 14
1 5 12 8 0 4 13 9 6 2 14 10 7 3 15 11
1 5 12 8 0 4 13 9 6 2 15 11 7 3 14 10
1 5 12 8 0 4 13 9 7 3 11 15 6 2 10 14
1 5 12 8 0 4 13 9 7 3 14 10 6 2 15 11
1 5 12 8 0 4 13 9 7 3 15 11 6 2 14 10
1 5 13 9 0 4 12 8 2 6 14 10 3 7 15 11
1 5 13 9 0 4 12 8 2 6 15 11 3 7 14 10
1 5 13 9 0 4 12 8 3 7 14 10 2 6 15 11
1 5 13 9 0 4 12 8 3 7 15 11 2 6 14 10
1 5 13 9 0 4 12 8 6 2 14 10 7 3 15 11
1 5 13 9 0 4 12 8 6 2 15 11 7 3 14 10
1 5 13 9 0 4 12 8 7 3 11 15 6 2 10 14
1 5 13 9 0 4 12 8 7 3 14 10 6 2 15 11
1 5 13 9 0 4 12 8 7 3 15 11 6 2 14 10
4 0 3 7 5 1 2 6 9 13 14 10 8 12 15 11
4 0 3 7 5 1 2 6 12 8 14 10 13 9 15 11
4 0 8 12 5 1 9 13 2 6 14 10 3 7 15 11
4 0 8 12 5 1 9 13 2 6 15 11 3 7 14 10
4 0 8 12 5 1 9 13 3 7 14 10 2 6 15 11
4 0 8 12 5 1 9 13 3 7 15 11 2 6 14 10
4 0 8 12 5 1 9 13 6 2 14 10 7 3 15 11
4 0 8 12 5 1 9 13 6 2 15 11 7 3 14 10
4 0 8 12 5 1 9 13 7 3 14 10 6 2 15 11
4 0 8 12 5 1 9 13 7 3 15 11 6 2 14 10
4 0 8 13 5 1 9 12 2 6 15 11 7 3 14 10
4 0 8 13 5 1 9 12 6 2 15 11 3 7 14 10
4 0 9 13 5 1 8 12 2 6 15 11 3 7 14 10
4 0 9 13 5 1 8 12 3 7 14 10 2 6 15 11
4 0 9 13 5 1 8 12 3 7 15 11 2 6 14 10
4 0 9 13 5 1 8 12 6 2 14 10 7 3 15 11
4 0 9 13 5 1 8 12 6 2 15 11 7 3 14 10
4 0 9 13 5 1 8 12 7 3 14 10 6 2 15 11
4 0 9 13 5 1 8 12 7 3 15 11 6 2 14 10
4 0 12 8 5 1 13 9 2 6 15 11 3 7 14 10
4 0 12 8 5 1 13 9 3 7 15 11 2 6 14 10
4 0 12 8 5 1 13 9 6 2 14 10 7 3 15 11
4 0 12 8 5 1 13 9 6 2 15 11 7 3 14 10
4 0 12 8 5 1 13 9 7 3 14 10 6 2 15 11
4 0 12 8 5 1 13 9 7 3 15 11 6 2 14 10
4 0 13 9 5 1 12 8 2 6 15 11 3 7 14 10
4 0 13 9 5 1 12 8 3 7 15 11 2 6 14 10
4 0 13 9 5 1 12 8 6 2 15 11 7 3 14 10
4 0 13 9 5 1 12 8 7 3 14 10 6 2 15 11
4 0 13 9 5 1 12 8 7 3 15 11 6 2 14 10
4 8 12 0 5 9 13 1 6 10 14 2 7 11 15 3
5 1 2 6 4 0 3 7 8 12 15 11 9 13 14 10
5 1 2 6 4 0 3 7 8 15 12 11 10 13 14 9
5 1 2 6 4 0 3 7 13 9 15 11 12 8 14 10
5 1 2 9 4 0 12 7 8 3 15 11 6 13 14 10
5 1 2 9 4 0 15 7 8 3 12 11 10 13 14 6
5 1 2 10 4 0 15 7 8 12 3 11 9 13 14 6
5 1 8 12 4 0 9 13 2 6 15 11 3 7 14 10
5 1 8 12 4 0 9 13 3 7 15 11 2 6 14 10
5 1 8 12 4 0 9 13 6 2 15 11 7 3 14 10
5 1 8 12 4 0 9 13 7 3 15 11 6 2 14 10
5 1 8 12 4 0 13 9 2 7 15 11 3 6 14 10
5 1 8 12 4 0 13 9 3 6 15 11 2 7 14 10
5 1 9 13 4 0 8 12 3 7 15 11 2 6 14 10
5 1 9 13 4 0 8 12 6 2 15 11 7 3 14 10
5 1 9 13 4 0 8 12 7 3 15 11 6 2 14 10
5 1 12 8 4 0 13 9 6 2 15 11 7 3 14 10
5 1 12 8 4 0 13 9 7 3 15 11 6 2 14 10
5 1 13 9 4 0 12 8 7 3 15 11 6 2 14 10
5 1 13 9 11 15 3 7 8 12 0 4 6 2 14 10
5 2 14 9 7 0 12 11 4 3 15 8 6 1 13 10
5 2 14 9 8 15 3 4 11 12 0 7 6 1 13 10
5 9 13 1 6 10 14 2 7 11 15 3 4 8 12 0
5 9 13 1 12 0 4 8 7 11 15 3 14 2 6 10
5 10 12 3 15 0 6 9 8 7 1 14 2 13 11 4
5 11 13 3 4 10 12 2 7 9 15 1 6 8 14 0
5 11 13 3 14 0 6 8 7 9 15 1 12 2 4 10
6 1 2 5 4 3 0 7 8 15 12 11 10 13 14 9
6 1 2 10 4 12 0 7 8 15 3 11 5 13 14 9
6 1 13 10 4 3 15 8 7 0 12 11 5 2 14 9
6 1 13 10 11 12 0 7 8 15 3 4 5 2 14 9
6 1 15 8 4 3 13 10 5 2 12 11 7 0 14 9
6 2 14 10 7 3 15 11 4 0 12 8 5 1 13 9
6 2 14 10 7 3 15 11 5 1 13 9 4 0 12 8
6 2 14 10 8 12 0 4 11 15 3 7 5 1 13 9
6 10 2 14 15 3 11 7 8 4 12 0 1 13 5 9
6 10 14 2 7 11 15 3 4 8 12 0 5 9 13 1
6 13 1 10 7 12 0 11 4 15 3 8 5 14 2 9
6 13 1 10 8 3 15 4 11 0 12 7 5 14 2 9
6 14 2 10 4 12 0 8 7 15 3 11 5 13 1 9
6 14 2 10 11 3 15 7 8 0 12 4 5 13 1 9
